common.breadcrumb	Ruta de navegación
servicesPage.userManualGuideCustom.modules.items[2].features[0]	Traducción y corrección de textos
servicesPage.userManualGuideCustom.modules.items[2].features[1]	Datos de contacto específicos por región
servicesPage.userManualGuideCustom.modules.items[2].features[2]	Códigos QR hacia tutoriales
servicesPage.userManualGuideCustom.modules.items[2].features[3]	Formato de preguntas frecuentes (FAQ) para equipos de soporte
aboutPage.breadcrumb.home	Inicio
aboutPage.breadcrumb.about	Sobre nosotros
aboutPage.hero.title	Sobre iShine
aboutPage.hero.description	Fabricante líder de depiladoras IPL de depilación, dedicado a ayudar a las marcas a triunfar desde el concepto hasta el mercado
aboutPage.whoWeAre.title	Quiénes somos
aboutPage.whoWeAre.p1	iShine es un fabricante profesional de depiladoras IPL de depilación de uso doméstico con sede en Guangzhou, China. Desde nuestra fundación, nos hemos dedicado a una única misión: ayudar a las marcas a llevar depiladoras IPL innovadores al mercado.
aboutPage.whoWeAre.p2	Nos especializamos en soluciones completas OEM/ODM, ofreciendo todo, desde el diseño inicial y el prototipado hasta la producción en masa, el embalaje y la logística global. Nuestro equipo trabaja en estrecha colaboración con propietarios de marcas, gestores de producto y diseñadores de diferentes sectores para garantizar el éxito de cada proyecto.
aboutPage.whoWeAre.p3	Con alianzas que abarcan Norteamérica, Europa y Asia, hemos ganado la confianza de marcas líderes como Costco Canada, ROSESKINCO USA y KU-2 Cosmetic Germany.
aboutPage.buttons.companyProfile	Perfil de la empresa
aboutPage.buttons.ourStory	Nuestra historia
aboutPage.coreValues.title	Nuestros valores fundamentales
aboutPage.coreValues.description	Los principios que guían todo lo que hacemos
aboutPage.coreValues.items.missionDriven.title	Impulsados por la misión
aboutPage.coreValues.items.missionDriven.description	Potenciamos a las marcas con soluciones IPL innovadoras que transforman la industria de la belleza.
aboutPage.coreValues.items.customerFocused.title	Enfocados en el cliente
aboutPage.coreValues.items.customerFocused.description	Construimos alianzas duraderas gracias a un servicio excepcional y una entrega fiable.
aboutPage.coreValues.items.innovationFirst.title	Innovación ante todo
aboutPage.coreValues.items.innovationFirst.description	Avanzamos continuamente la tecnología IPL para responder a las demandas cambiantes del mercado.
aboutPage.coreValues.items.qualityExcellence.title	Excelencia en calidad
aboutPage.coreValues.items.qualityExcellence.description	Mantenemos los máximos estándares en fabricación y control de calidad.
aboutPage.timeline.title	Hitos
aboutPage.timeline.items[0].year	2008
aboutPage.timeline.items[0].event	Fundada en Guangzhou, China
aboutPage.timeline.items[1].year	2012
aboutPage.timeline.items[1].event	Primera alianza internacional
aboutPage.timeline.items[2].year	2015
aboutPage.timeline.items[2].event	Aprobación de la FDA obtenida
aboutPage.timeline.items[3].year	2018
aboutPage.timeline.items[3].event	Alianza con Costco Canadá
aboutPage.timeline.items[4].year	2020
aboutPage.timeline.items[4].event	Hito de 500,000 dispositivos
aboutPage.timeline.items[5].year	2023
aboutPage.timeline.items[5].event	Expansión de la tecnología IPL inteligente
breadcrumb.services	[TODO] breadcrumb.services
breadcrumb.products	[TODO] breadcrumb.products
breadcrumb.components	[TODO] breadcrumb.components
breadcrumb.filter	[TODO] breadcrumb.filter
breadcrumb.lamp	[TODO] breadcrumb.lamp
breadcrumb.cooling	[TODO] breadcrumb.cooling
core.oem.title	[TODO] core.oem.title
core.oem.description	[TODO] core.oem.description
core.oem.features.0	[TODO] core.oem.features.0
core.oem.features.1	[TODO] core.oem.features.1
core.oem.features.2	[TODO] core.oem.features.2
core.oem.features.3	[TODO] core.oem.features.3
core.design.title	[TODO] core.design.title
core.design.description	[TODO] core.design.description
core.design.features.0	[TODO] core.design.features.0
core.design.features.1	[TODO] core.design.features.1
core.design.features.2	[TODO] core.design.features.2
core.design.features.3	[TODO] core.design.features.3
core.production.title	[TODO] core.production.title
core.production.description	[TODO] core.production.description
core.production.features.0	[TODO] core.production.features.0
core.production.features.1	[TODO] core.production.features.1
core.production.features.2	[TODO] core.production.features.2
core.production.features.3	[TODO] core.production.features.3
core.packaging.title	[TODO] core.packaging.title
core.packaging.description	[TODO] core.packaging.description
core.packaging.features.0	[TODO] core.packaging.features.0
core.packaging.features.1	[TODO] core.packaging.features.1
core.packaging.features.2	[TODO] core.packaging.features.2
core.packaging.features.3	[TODO] core.packaging.features.3
core.title	[TODO] core.title
core.description	[TODO] core.description
core.lamp.title	[TODO] core.lamp.title
core.lamp.description	[TODO] core.lamp.description
core.lamp.specs.0	[TODO] core.lamp.specs.0
core.lamp.specs.1	[TODO] core.lamp.specs.1
core.lamp.specs.2	[TODO] core.lamp.specs.2
core.lamp.specs.3	[TODO] core.lamp.specs.3
core.lamp.paragraph	[TODO] core.lamp.paragraph
core.lamp.cta	[TODO] core.lamp.cta
core.lamp.imageAlt	[TODO] core.lamp.imageAlt
core.filter.title	[TODO] core.filter.title
core.filter.description	[TODO] core.filter.description
core.filter.specs.0	[TODO] core.filter.specs.0
core.filter.specs.1	[TODO] core.filter.specs.1
core.filter.specs.2	[TODO] core.filter.specs.2
core.filter.specs.3	[TODO] core.filter.specs.3
core.filter.imageAlt	[TODO] core.filter.imageAlt
core.filter.paragraph	[TODO] core.filter.paragraph
core.filter.cta	[TODO] core.filter.cta
core.cooling.title	[TODO] core.cooling.title
core.cooling.description	[TODO] core.cooling.description
core.cooling.specs.0	[TODO] core.cooling.specs.0
core.cooling.specs.1	[TODO] core.cooling.specs.1
core.cooling.specs.2	[TODO] core.cooling.specs.2
core.cooling.specs.3	[TODO] core.cooling.specs.3
core.cooling.paragraph	[TODO] core.cooling.paragraph
core.cooling.cta	[TODO] core.cooling.cta
core.cooling.imageAlt	[TODO] core.cooling.imageAlt
core.power.title	[TODO] core.power.title
core.power.description	[TODO] core.power.description
core.power.specs.0	[TODO] core.power.specs.0
core.power.specs.1	[TODO] core.power.specs.1
core.power.specs.2	[TODO] core.power.specs.2
core.power.specs.3	[TODO] core.power.specs.3
core.power.imageAlt	[TODO] core.power.imageAlt
core.power.paragraph	[TODO] core.power.paragraph
core.power.cta	[TODO] core.power.cta
process.steps.0.step	[TODO] process.steps.0.step
process.steps.0.title	[TODO] process.steps.0.title
process.steps.0.description	[TODO] process.steps.0.description
process.steps.0.duration	[TODO] process.steps.0.duration
process.steps.1.step	[TODO] process.steps.1.step
process.steps.1.title	[TODO] process.steps.1.title
process.steps.1.description	[TODO] process.steps.1.description
process.steps.1.duration	[TODO] process.steps.1.duration
process.steps.2.step	[TODO] process.steps.2.step
process.steps.2.title	[TODO] process.steps.2.title
process.steps.2.description	[TODO] process.steps.2.description
process.steps.2.duration	[TODO] process.steps.2.duration
process.steps.3.step	[TODO] process.steps.3.step
process.steps.3.title	[TODO] process.steps.3.title
process.steps.3.description	[TODO] process.steps.3.description
process.steps.3.duration	[TODO] process.steps.3.duration
process.title	[TODO] process.title
process.description	[TODO] process.description
advantages.experience.title	[TODO] advantages.experience.title
advantages.experience.description	[TODO] advantages.experience.description
advantages.global.title	[TODO] advantages.global.title
advantages.global.description	[TODO] advantages.global.description
advantages.endToEnd.title	[TODO] advantages.endToEnd.title
advantages.endToEnd.description	[TODO] advantages.endToEnd.description
advantages.quality.title	[TODO] advantages.quality.title
advantages.quality.description	[TODO] advantages.quality.description
hero.title1	[TODO] hero.title1
hero.title2	[TODO] hero.title2
hero.description	[TODO] hero.description
hero.cta	[TODO] hero.cta
hero.title	[TODO] hero.title
why.title	[TODO] why.title
why.description	[TODO] why.description
trusted.title	[TODO] trusted.title
trusted.description	[TODO] trusted.description
trusted.stats.0.value	[TODO] trusted.stats.0.value
trusted.stats.0.label	[TODO] trusted.stats.0.label
trusted.stats.1.value	[TODO] trusted.stats.1.value
trusted.stats.1.label	[TODO] trusted.stats.1.label
trusted.stats.2.value	[TODO] trusted.stats.2.value
trusted.stats.2.label	[TODO] trusted.stats.2.label
cta.title	[TODO] cta.title
cta.description	[TODO] cta.description
cta.button	[TODO] cta.button
keyFeatures.fda.title	[TODO] keyFeatures.fda.title
keyFeatures.fda.description	[TODO] keyFeatures.fda.description
keyFeatures.technology.title	[TODO] keyFeatures.technology.title
keyFeatures.technology.description	[TODO] keyFeatures.technology.description
keyFeatures.customizable.title	[TODO] keyFeatures.customizable.title
keyFeatures.customizable.description	[TODO] keyFeatures.customizable.description
keyFeatures.manufacturing.title	[TODO] keyFeatures.manufacturing.title
keyFeatures.manufacturing.description	[TODO] keyFeatures.manufacturing.description
list.title	[TODO] list.title
controls.filter	[TODO] controls.filter
title	[TODO] title
description	[TODO] description
subtitle	[TODO] subtitle
form.title	[TODO] form.title
form.name	[TODO] form.name
form.email	[TODO] form.email
form.company	[TODO] form.company
form.message	[TODO] form.message
form.messagePlaceholder	[TODO] form.messagePlaceholder
info.phone	[TODO] info.phone
ctaExplore	[TODO] ctaExplore
header.title	[TODO] header.title
header.description	[TODO] header.description
intro.title	[TODO] intro.title
intro.paragraph	[TODO] intro.paragraph
diagram.alt	[TODO] diagram.alt
overview.title	[TODO] overview.title
quality.title	[TODO] quality.title
quality.partnership	[TODO] quality.partnership
quality.blocks.durability.title	[TODO] quality.blocks.durability.title
quality.blocks.durability.description	[TODO] quality.blocks.durability.description
quality.blocks.safety.title	[TODO] quality.blocks.safety.title
quality.blocks.safety.description	[TODO] quality.blocks.safety.description
quality.blocks.performance.title	[TODO] quality.blocks.performance.title
quality.blocks.performance.description	[TODO] quality.blocks.performance.description
quality.blocks.compliance.title	[TODO] quality.blocks.compliance.title
quality.blocks.compliance.description	[TODO] quality.blocks.compliance.description
quality.blocks.wavelength.title	[TODO] quality.blocks.wavelength.title
quality.blocks.wavelength.description	[TODO] quality.blocks.wavelength.description
quality.blocks.transmission.title	[TODO] quality.blocks.transmission.title
quality.blocks.transmission.description	[TODO] quality.blocks.transmission.description
quality.blocks.heat.title	[TODO] quality.blocks.heat.title
quality.blocks.heat.description	[TODO] quality.blocks.heat.description
quality.blocks.lifeCycle.title	[TODO] quality.blocks.lifeCycle.title
quality.blocks.lifeCycle.description	[TODO] quality.blocks.lifeCycle.description
quality.blocks.energy.title	[TODO] quality.blocks.energy.title
